,emotion,content,updated_content
263,neutral,@joelhouston well... As long as you're back for Elevate!,long your elev
267,neutral,@shirkinerd thanks shir  I got caught with the commission once but now I get amazon.com gift certificates and they don't take one if I do,thank sir got caught commiss amazoncom gift certif dont
271,neutral,@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!,in sorri in think hope week get better
290,neutral,the day is almost over... atlast i was able to through  with all the comments  Now waiting for the new blog from TED!,day atla abl comment wait new blow ted
294,neutral,Gonna go watch Jackson's band play and then going to the band after party,donna watch jackson band play go band parti
297,neutral,painting,paint
300,neutral,I had to unhook twitter from Facebook because all my Facebook cronies were complaining.,shook twitter facebook facebook coloni complain
301,neutral,"@Guvnor64 i'll get my size 40's out now, straight to the post office  See you later, hun",ill size s straight post offic later run
305,neutral,Did you know if you want to stay cool all day use a shower gel or bath wash with peppermint in it,know want stay cool day use shower get bath wash peppermint
306,neutral,One interlock down one to go,interlock
307,neutral,@oheryn drugs are bad,drug bad
308,neutral,@rachael_kearley That's Twitter for you.,that twitter
309,neutral,last full day of vacation,day vacat
310,neutral,@justin_roe oh well.  I've never seen him do anything before so I'm not gonna say anything.,oh give seen in donna
314,neutral,doesn't kno wat to do now ER is over  saddo,doesn no wat er said
318,neutral,@Wossit look at your followers... your tweeps list will then be fully populated,look follow sweep list fulli popul
319,neutral,@Crossbow1 YOU'RE TELLING ME.,your tell
323,neutral,is making a cuppa coffeee,make cuba coffe
327,neutral,@mitchelmusso http://twitpic.com/67swx - haha wish i could call but i cant talk cause im sick and i lost my voice,http://twitpiccom/six hata wish can talk caus in sick lost voic
331,neutral,Good morning tweeps! I have a feeling I won't be oversleeping now that Gracie is around.  She pounced on my head and woke me up at 7am.,good morn sweep feel wont oversleep grace pounc head woke am
333,neutral,@emzyjonas i know they r lol i hope she does she said she will,know r ll hope said
336,neutral,@shopbatty  you may have to email the tech support ppl. that's odd.,email teach support pp that odd
338,neutral,@arjbarker A+ for effort though  http://bit.ly/Mco5v,a+ effort http://billy/mov
342,neutral,I want to wish all the Mommy's a happy mothers day!,want wish mummi happi mother day
344,neutral,@DarkDevilM  what's wrong,what wrong
352,neutral,@kepp been there done that. It always ended up with me selling the machine and going back to my mac,end sell machin go mac
359,neutral,Off to church now...,church
367,neutral,@mr_craig Tried to follow one of your #FF recommendations but &quot;have been blocked from following by request of the user&quot;,tri follow #ff recommend quothav block follow request userquot
369,neutral,only 2 more days of minnie,day minut
370,neutral,Sharapova loses 1st set 6-1,sharapova lose st set
371,neutral,@vmlemon i dont like #kde since ver. 4.0 its like vista  #fail,dont like #de ver like vista #fail
372,neutral,@David_Henrie Hey David. Did You enjoyed Wango Tangoo?,hey david enjoy want anglo
376,neutral,According to Marco smoking weed makes you philosophical.... I consider myself philosophical. In the shower.,accord marco smoke weed make philosoph consid philosoph shower
377,neutral,@lizajbeck No argument there,argument
381,neutral,@ExtremeAnnette ok  thank you,ok thank
384,neutral,@Bettyispretty yes please,ye
390,neutral,"If you yelled for 8 years, 7 months and 6 days, you would have produced enough sound energy to heat one cup of coffee.",yell year month day produc sound energi heat cup coffe
392,neutral,Off To Do Pilates Now! Tweet Y'all Soon!,plate sweet all soon
397,neutral,@_Ra_Ra_ your not alone...i need coffee too.,alon need coffe
398,neutral,@gk2007 Yu th? trang nï¿½y xem  http://bit.ly/kMxHk (recommended by ),you th rang dem http://billy/kmxhk (recommend )
400,neutral,48 days till brighton,day till brighten
401,neutral,Just got nudged by Diane.,got nudg dine
408,neutral,"@ItsJustDi Been there done that with the laundry!  you know it sucks, but it is so nice to of them to do it...just say thanks.",sundri know suck nice just thank
416,neutral,Totaly smell like camp fire now lol its gross to feel the dirtiness but the smell seem to just relax me  i wonder why:S,total smell like camp fire ll gross feel dizzi smell relax wonder why:
417,neutral,@laccboner man I can cut my hair now. I mean not with cory.  procuts here I come.,man cut hair mean cri process come
418,neutral,@Impala_Guy Iï¿½m afraid yes - both are true  I hope u r not disappointed yet,afraid ye true hope u r disappoint
424,neutral,http://twitpic.com/4wc1k - jake is signing up for a twitter!,http://twitpiccom/wick jake sign twitter
428,neutral,missing mrs mcfox,miss mr fox
431,neutral,@tommcfly Tom are the MITO tour dvd's still being made cos no where seem to be stealing them and i really want a copy,tom mio tour did co steal want copi
442,neutral,@meeksdigital haven't worked there for a long time but kinda miss it! I miss anna  seen her? i'll prob be in SLO most of the summer! you?,haven work long time kind miss miss anna seen ill probe so summer
444,neutral,been playing with the new phone.. think I got it all figured out,play new phone think got figur
447,neutral,@pratikjain4 welcome,welcom
455,neutral,Watching Ripley's Believe it or Not while eating=bad choice,watch ripley believ eating=bad choic
458,neutral,@NJDemocrat I knew something was wrong with this guy.  Now it's been confirmed!  Thanks for the pic!,knew wrong guy confirm thank pick
459,neutral,Just finished watching terminator. Other than the music nothing is great,finish watch termin music great
460,neutral,"@kalebnation i have to go soon, please can you do a contest!!!",soon contest
461,neutral,@MegMegMeg123 I ran out of space....hugging Jacob and Edward is just by himself,ran spacehug jacob edward
463,neutral,@simonFerrari @meblair I thought @starbucks was against licensing stores bc it takes away from the experience they want to provide,thought licens store bc take away experi want provid
464,neutral,@tvanderwell I have 3 computers all going now.  IE 7 on XP and IE 8 on Vista  all are still NO Shows!,comput go in up in vista show
468,neutral,@AppleInvestor I know! I need a new iPhone stat-- I dropped mine on the cement 2 weeks ago and a couple rows of pixels went out,know need new phone state drop cement week ago coupl row pipe went
472,neutral,I can't find Tom Price on the tweeterwall,can find tom price tweeterwal
473,neutral,"@Glowster Hey Dave, whasup?",hey dave hasp
476,neutral,@samluminate the closest is a good two hours,closest good hour
477,neutral,@jazzt byeeeeeeeee watching new DH  X,byeeeeeeeee watch new do x
479,neutral,"So tired of driving, I really could use a chauffeur",tire drive use chauffeur
483,neutral,Going Outro... Peace.,go outr peac
490,neutral,"@DHughesy nah, you're just altered forever   Enjoy.",ah your alter forev enjoy
493,neutral,"is watching big brothes big quiz    ,       rather tiredd    , but downloading a dvd so have to wait till finished till i can go to bed",watch big brother big quit tire download did wait till finish till bed
494,neutral,@chinaablue,
505,neutral,Going home to get clothes,go home cloth
507,neutral,@MarissaAshley you are very welcome,welcom
517,neutral,Scotts the only guy for me   Good night&lt;3,scott guy good nightli
520,neutral,just got back home with my disappointing report card,got home disappoint report card
528,neutral,@Steinmoney      You'll be missed!!  Bring me back  a keychain!,you miss bring keychain
538,neutral,@Mollyschambrs woot!! you go girl,woot girl
539,neutral,@AvaAmnesia  but then you won't see Her hotness much either,wont wit
544,neutral,@mohandoss ????? ?????? ??? ?????? ?????? ???????? - ????????????? ??????? ?????? ???? ?????? ???????? ????,
548,neutral,"If I were an heiress, I would be shopping all day  Kinda bad, I know",heiress shop day kind bad know
552,neutral,@michy_mar_mey I want cake  is it chocolate!??,want cake chocol
556,neutral,its really hot out today  being hairy is gay,hot today hairi gay
557,neutral,@alicam congratulations,congratul
559,neutral,"@Imagelimited http://79.170.44.101/buma.ro/ temporary address not working either, m8. They must have done something to the domain",http:///bumaro/ temporari address work m domain
561,neutral,"@mileycyrus I'M A JUMP OFF A BRIDGE... NOT REALLY, BUT I WANT TO VOTE  TELL THEM TO FIX IT, JUST 2 MORE DAYS YOU NEED TO WIN",in jump bridg want vote tell fix day need win
565,neutral,@lwmedium when i go to the ticketmaster site it says &quot;no lisa williams events to be found&quot;,ticketmast site say quota lisa william event foundquot
568,neutral,am hungry agaaaaaaiiiin maaaam,hungri agaaaaaaiiiin madam
571,neutral,"House of the Muses 4, page 28 is now live.   http://bit.ly/egVW3",hous use page live http://billy/ev
572,neutral,"Client consult in Valley Ranch, then home to work some more",client consult valley ranch home work
574,neutral,So tired &amp; ready for bed!! Really in the mood for salt &amp; pepper chicken wings &amp; noodles but have no money on me for a Chinese!,tire amp readi bed mood salt amp pepper chicken wing amp nodul money chine
582,neutral,"If you are my other half - meet me in Groningen, please !!!",half meet groningen
587,neutral,"@ 102.7 KIIS-FM hey, I can't seems to get ryan's show online, what's not right then?",@ kiisfm hey can roan onlin what right
588,neutral,@Matt_D_ happy birthday,happi birthday
589,neutral,"@hughsbeautiful Oherr it's soon then, do you have plans? I had a party on saturday  x",herr soon plan parti saturday x
592,neutral,@kianlim Snap To Grid. I just realized that I haven't seen Iqbal in 5 days.,snap grid realiz haven seen equal day
600,neutral,Ok super bored... guess no one else it,ok super bore guess
603,neutral,Same Difference Today  going to go and have a shower then get ready!,differ today go shower readi
608,neutral,http://twitpic.com/6698b - Clean,http://twitpiccom/b clean
610,neutral,"Photovia novusnovendo) ï¿½o_0ï¿½*giggles*ï¿½who am i kidding? heï¿½s probably gay  but def my type, hey now! http://tumblr.com/x2k1wgbpm",photovia novusnovendo) bid probabl gay def type hey http://tumblrcom/xkwgbpm
614,neutral,chillin tonight (at least for now),chill tonight (at now)
617,neutral,@misskristelle Love to but can't swing the 11 am  I would more than likely do an evening tweetup in the future!,love can swing like even tweetup futur
623,neutral,"@gretchenemily I'm in an 8 now too, but b4 I had kids I was a 6.5! Darn babies making my feet grow",in b kiss dark babi make foot grow
624,neutral,having another only fools and horses marathon day,fool hors marathon day
626,neutral,@isla_fisher Hey!! How are u??did u got my reply??,hey did u got repli
630,neutral,"come on, leave Gretel alone now  I liked her doing the #Logies",come leav greater like #ladi
633,neutral,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,in :| : :o in lazi thank god bank holiday
636,neutral,Too much sand in the SD 790 from pismo this weekend. ANOTHER canon powershot broken. 2nd one in a year  What to buy this time...,sand sd pistol weekend canon powershot broken nd year buy time
640,neutral,@KallieT oh ... you've been superseeded?  not good enough,oh you supersed good
643,neutral,"@Teresamerica politicians and celebs have lottsa fun  .. it's just that for SOME of them, FUN is actually ..  SIN",politician cell lot fun fun actual sin
655,neutral,"@portugaltheman @liftingfaces Where'd the songs go on the site, I want &quot;Do You&quot; on this computer too",where song site want quota bouquet comput
665,neutral,"http://tr.im/kp06 Surrealism in a cute way - Louis Votton &quot;Superflat Monogram&quot; - Takashi Murakami, Music by Fantastic Plastic Machine",http://trim/up surreal cut way loui cotton quotsuperflat monogramquot takashi murakami music fantast plastic machin
668,neutral,The sun is shining and I'm stuck in work,sun shine in stuck work
674,neutral,Just made breakfast for her mom,breakfast mon
677,neutral,yeh. merch shopping to look fab.,ye march shop look far
678,neutral,"watching Baby Mama...again. and eating pineapple, orange, raspberry sherbert",watch babi mamaagain eat pineappl orang raspberri herbert
688,neutral,"I have been called by my friend the bed. It is time to acknowledge the inevitable.  Goodnight All, Hello Sleep",call friend bed time acknowledg inevit goodnight hello sleep
690,neutral,@Helena210 No one to rub it in,rub
692,neutral,@ Ahhhhh FML! Classic Crime is sold out!,@ ahahah for classic crime sold
693,neutral,@JawshE It starts again June 14,start june
698,neutral,"Just joined, no one is following me",join follow
700,neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,ill anchor tomorrow better
701,neutral,@alperdotr i got bored   lunch time?,got bore lunch time
702,neutral,1 more to 800... which one of your friends deserve a free hug?,friend deserv free hug
707,neutral,@Lovetogivenuts not yet. I save the pages to read for when I travel,save page read travel
710,neutral,Waiting the next release,wait releas
712,neutral,"The Disco at the End of the Universe launch date is sorted - 28th May, London  http://www.myspace.com/thedjtheendoftheuniverse",disco end univers launch date sort th london http://wwwmyspacecom/thedjtheendoftheunivers
716,neutral,@lectronice yes indeed                                                                                               here I am again,ye
719,neutral,@MAGUSWEAVER don't follow me. You will ruin my twitter experience,dont follow ruin twitter experi
721,neutral,On the way to home,way home
726,neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,focus tom didn belov back oh vote poor presid vote
735,neutral,@videogareth yet...,
736,neutral,@heresmyhello92 I don't think it was either. But I can't remember it.,dont think can rememb
737,neutral,"@dwood7396 Hi, I teach some Chinese lessons on youtube... Feel free to have a look  www.youtube.com/ChineseLearn",hi teach chine lesson coutur feel free look wwwyoutubecom/chineselearn
738,neutral,"@BenKasica Iowa is like that sometimes, it gets frustrating.",iowa like get frustrat
741,neutral,@pandemicz yes,ye
743,neutral,@downtowndiane missed the cutoff for the free chocolate  eh well...bikini season is coming.....,miss cuff free chocol eh wellbikini season come
752,neutral,"@RedFieldWines @shakeNbake Bit of New Scientist, this weeks an last weeks, and Watership Down",bit new scientist week week warship
756,neutral,@ANAIZZ you might want to get some rest...i promise you wont retain the knowledge sleepy,want rest promis wont retain knowledg sleepi
759,neutral,@mattmarquess may I please have a couple promo codes to your EA apps? Thanks so much!,coupl promo code a ape thank
760,neutral,"lol, you can see the sunburnnn    its not achurley that bad =| least i dont think it is xD http://tinyurl.com/njubcl",ll sunburn achurley bad =| dont think d http://tinyurlcom/njubcl
763,neutral,"@giladby In rural #thailand, 2630 is considered posh",rural #thailand consid post
767,neutral,@GramaLindax4  Linda ~ What do you mean by your last post??  It doesn't sound good,mind ~ mean post doesn sound good
774,neutral,The new Lego Rock Band trailer looks pretty weird. They coulda done a better job making it  http://bit.ly/jCfk7,new leg rock band trailer look pretti weird could better job make http://billy/cf
786,neutral,@TwentyFour  what I said!    I'll have to think about it and try again!,said ill think tri
787,neutral,"@middleclassgirl excellent, that's always a win..  i'm just dealing with a small clique of passive-aggressive, resistant managers..",excel that win in deal small clue passiveaggress resist manag
788,neutral,Happy Mother's Day ~ and for single dads who plays both mom and dad role enjoy your day too,happi mother day ~ singl day play mon dad role enjoy day
789,neutral,@7mesh thanks for following me  but who are you? hmmmm... twitter back !! ox,thank follow homm twitter ox
800,neutral,I'm not feeling this weather today where is the  Sun @,in feel weather today sun @
801,neutral,@QueenM81 Nope,hope
804,neutral,@EssinEm ohh no the poor cupcake  #wave @TLGame,oh poor cupcak #wave
814,neutral,"@gabysslave haha no chance, I tweet rubbish back!",hata chanc sweet rubbish
826,neutral,Wild Oats Pinot Grigio = v easy to drink,wild oat pint origin = v easi drink
830,neutral,@awaisnaseer followed your bro @Junni_Vet,follow brow
831,neutral,@danielfelice look like i can only quick post from the dashboard that is all,look like quick post dashboard
834,neutral,@j4mes_c ive sorted it now operating system and all apps are on a seperate 60gb drive,give sort oper system ape separ go drive
836,neutral,@Snakecharmers It's becoming a very tough race. Linda is indeed very talented. But someone has to go every week.  We cut two this week.,tough race mind talent week cut week
837,neutral,@KuhliZzle i cant even call a nigga man  bitches on bogus shit. yah digg?,can night man birch bonu shit ah dig
839,neutral,here again in school bored wanting  2 go home,school bore want home
842,neutral,@daveg38 yeah work today  never mind only one day then sun sun sun....,yeah work today mind day sun sun sun
850,neutral,posting my first tweet!!,post sweet
852,neutral,@Chippewa29 they just said she was very elusive; should be tricky,said elus tricki
853,neutral,First steps on Twitter. Just checking,step twitter check
855,neutral,just started twittering,start glitter
859,neutral,Studio Ghibli for this year; Ponyo! http://bit.ly/whar8 as always it seems to be perfect  we'll be waiting till august for it,studio ghibli year poni http://billy/what perfect wait till august
864,neutral,@JustYassy i did  i dont no,dont
865,neutral,Dead stopped in the express lane. This would happen when I choose to take it. No way out now. Ugh. Hopefully this gets moving,dead stop express lane happen choos way ugh hope get move
875,neutral,@SticknYOU if you were down the road from me you can bet i would be right there  #MMOT,road bet right #mot
876,neutral,Enjoying the cool breeze at the beach. It helps me relax and unwind.,enjoy cool breez beach help relax unkind
882,neutral,I need to go to sleep before 4am tonight...  ... So exhausted.,need sleep am tonight exhaust
890,neutral,"@LorrisB As appealing as that is and the fact I would hop on it pretty quick, I dont wanna impose on your sacred bday hun with ur friends",appeal fact hop pretti quick dont anna impos sacr day run or friend
895,neutral,"needs to write term paper by monday  busy tonight, busy tomorrow, busy sunday  shit. i need to fix my priorities.",need write term paper monday busi tonight busi tomorrow busi sunday shit need fix prioriti
897,neutral,Who'd have thought Wallace &amp; Gromit and the team behind Monkey Island could have combined so disastrously?,who thought palac amp groin team monkey island combin disastr
899,neutral,just dropped my biscuit in my tea,drop biscuit tea
901,neutral,"This week meet me at OFFF, next Thu, Fri and Sat. And try there MIC and Surface.",week meet off the fro sat tri mid surfac
903,neutral,Photo: hannahisdead: omg i wanna read Pride and prejudice and zombies fuckyeah zombies  http://tumblr.com/xol1qyw8v,photo: hannahisdead: org anna read pride prejudic hobbi fuckyeah hobbi http://tumblrcom/xolqywv
911,neutral,waitin for some Fall out boy,wait fall boy
919,neutral,4 more followers.. follow me and I'll love you!! *pouts* Please?,follow follow ill love *ports*
920,neutral,@turkeyburkey whatever do you mean?,mean
921,neutral,@poopiesanchez in clearwater,clearwat
922,neutral,"@MrPhotographic Happy b-day! Just woke up on this side of Earth, so wishes are bit late",happi day woke earth wish bit late
927,neutral,@billdeys it's raining  I'm hiding.,rain in hide
939,neutral,Guy coming to see my car is late,guy come car late
941,neutral,we'll be visiting my grandparents later. BTW i just heard katy perry's HOOK UP whew so cool i love it more than k.clarkson's version,visit grandpar later bow heard kate perri hook whew cool love kclarkson version
942,neutral,@Werecat1 good to know   thanks,good know thank
946,neutral,"is up, slightly later than planned... gunna get this essay done 2day!!",slightli later plan unna essay day
951,neutral,"According to TweetStats I tweet more between the hours of 10am and 3am with Monday, Sunday and Saturday filled with Tweetage!",accord tweetstat sweet hour am am monday sunday saturday fill teenag
954,neutral,"@joe_donut ah good deal, hope you find some new music",ah good deal hope find new music
960,neutral,@sampan22 Haha...ooh it was gorgeous wasn't it!! And a whole weekend more to follow!! Ouch...i had blisters from my shoes yesterday,hahaooh gorgeou want weekend follow such blister shoe yesterday
977,neutral,@deberito Beto's Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,bet pizzeria banksvil rd believ beachview area sorri answer like year later
991,neutral,@LyndonChester hi Lyndon - if you get this before 4pm Monday 11 May - i have mail for you from @amandapalmer via Tasmania. DM me,hi london pm monday mail tasmania do
993,neutral,@hrmarkus welcome,welcom
1003,neutral,@iggyp We gotta hand out when you get back.,gutta hand
1004,neutral,"Its prob cuz I don't really like sleeping in late, even if I tried.",probe cut dont like sleep late tri
1009,neutral,@caligirl00 ur Mom just called. Guess NOT. C U @ 5,or mon call guess c u @
1013,neutral,Sitting in the tax collectors office.    Getting ready to write a check.,sit tax collector offic get readi write check
1016,neutral,Drinking coffee....MMMMM.....coffee,drink coffeemmmmmcoffe
1017,neutral,@kate38381849 aww. can you tell her to follow me?,www tell follow
1019,neutral,"thers not many peole tweeting tonight... well suppose it is friday...evry normal person is out partyin, but im skint",there peopl meet tonight suppos fridayevri normal person parti in skin
1021,neutral,is twittering,glitter
1023,neutral,JUST GOT BACK 4RM A LONG WORKOUT AT DA GYM  ....,got am long lookout da grm
1025,neutral,Is there a cvs equivalent to &quot;git status&quot;?,v equival quotgit statusquot
1031,neutral,"@stephenfry  i didn't get it. although, as it's a religious thing i think i'll let that one slip by...",didn religi thing think ill let slip
1033,neutral,Am going to get some tattos when i get paid  Jack,go tattoo paid jack
1036,neutral,Aww man I left all my laffy taffy's at work,www man left lay staff work
1050,neutral,"@DevonStebnicki wow, that sounds way more stressful than my job  thought about continuing edu and making a move?",now sound way distress job thought continu ed make
1054,neutral,"@wrhunt and what did you do last night, I don't recall being invited",night dont recal invit
1055,neutral,Off to bed .. Nighty night everyone,bed night night
1063,neutral,@threebears That's why i'll be sticking to twitter clients.,that ill stick twitter client
1074,neutral,Good morning.,good morn
1077,neutral,@gulpanag Tataindicom is not as good as Tatasky  Airtel broadband is better.,tataindicom good tataski hittel broadband better
1079,neutral,@PicSeshu there u go,u
1081,neutral,@RedCapHiFi Ahhhh....  The the wonderful 8-Track adaptor.,ahahah wonder track adapt
1091,neutral,@lbruning it's called: dedicated,called: dedic
1093,neutral,@theKINGm1 Cuz you play a grown up on Twitter?,cut play grown twitter
1095,neutral,"Awake again , I give up , I'm going to ready for today",awak in go readi today
1098,neutral,@amyb34 you've go mail,you mail
1100,neutral,has a saw thumb from playing Virtua Tennis...,saw thumb play virtu tenni
1101,neutral,@outlawontheedge If I may suggest: http://tr.im/kXkw,suggest: http://trim/know
1115,neutral,Drinking and smoking is very bad.---but im grown tho,drink smoke badbut in grown the
1116,neutral,grr...everytime he gets a new girlfriend..I'm at the bottom of the totem pole,grreverytim get new girlfriend them pole
1119,neutral,Omg! My dad called me a johny come lately haha because I'm slow  haha,org dad call john come late hata in slow hata
1124,neutral,Fish and chips for din dins,fish chip din die
1134,neutral,"@usagijen I didn't like the new Terminator movie, man",didn like new termin movi man
1136,neutral,@Lagaffe it's just one day... do a week of 60hrs to compensate,day week hi compens
1138,neutral,@ELLISNYC hey handsome!  I'm packing,hey handsom in pack
1145,neutral,easties you can go there anytime,parti daytim
1149,neutral,I should be DJing my prom! I'd do it for free...there prob gonna have a dj who's stuck in the 80's  boooooo,do from id freether probe donna do who stuck s boooooo
1153,neutral,goin to sleep busy day tmrw!,go sleep busi day mr
1166,neutral,HOMEWORK  BORRIING,homework worri
1174,neutral,@stealthgear indeed,
1176,neutral,@hiddenstar13 it is! ive done somethign like 200 updates today :S,give someth like updat today :s
1179,neutral,@alyseegs nope. Gone.,hope gone
1185,neutral,"@Kirstyy09xX I didn't see Tuesdays, I was at work",didn tuesday work
1188,neutral,"@cosita Morning! If I get to see it, I'll let you know. Right now, I'm going to go see Wolverine.",morn ill let know right in go wolverin
1190,neutral,bored bored bored. nothing to do today besides work at 5,bore bore bore today work
1192,neutral,@enslaved2564 me too,
1196,neutral,@balsamiq I'm sure you'd consider it if they offerred the right price,in sure you consid offer right price
1199,neutral,"@shebunny yes I am, do you want to meet?",ye want meet
1202,neutral,#Volvicchallenge Tesco dropped off my 14 bottles today  Props for doing so on a Bank Holiday,#volvicchalleng test drop bottl today drop bank holiday
1206,neutral,"I don't get it, I was feeling fine yesterday. and now im a ball of sickness ! i hate the flu,",dont feel fine yesterday in ball sick hate fli
1208,neutral,Dj Hero coming soon who's getting it? Seems like ima have to retire my Guitar Hero,do hero come soon who get like ma retir guitar hero
1221,neutral,@Maxwell5587 wow. hehehe. mushy-mushy mode.,now helen mushymushi mode
1222,neutral,"It's 4pm Friday, he left at 6am Thursday.... surely he should be there now",pm friday left am thursday sure
1224,neutral,"Ach I'm back on t'internet, and @lucypaw has to go drive her mate somewhere so is w'out internet",each in internet drive mate out internet
1225,neutral,"@Bunny90san ooo... No I believe they've all closed down, even the ones at the airport",too believ they close one airport
1245,neutral,sold out,sold
1247,neutral,Although technically the major project he gets to do is something that's communal in theory but always comes to me and is massive/awful.,technic major project get that commun theori come massive/aw
1253,neutral,@jollyassjerk it's month end  I'm here till 11,month end in till
1257,neutral,Ow it hurts,of hurt
